Title,Year,Duration,MPAA,Genres,IMDb_Rating,Director,Stars,Plot_Summary,Votes,Duration_In_Minutes
What's Love Got to Do with It?,2013,1h 24min,Not Rated,"Documentary, Comedy, Drama",7.2,Rohena Gera,Unknown,"Marriage pressure? Haven't found the right person? In love with the wrong person What's love got to do with it? tells real life stories of people like you and me... who are simply looking for happiness and companionship, and find themselves facing the pro",128572,84
Dovid Meyer,2013,1h 41min,PG,"Drama, Family",8.1,Paul Mones,"Ted Sutherland, Jonathan Tindle, Ethan Jack Haberfield","The Kalmans, a proper British, 'non-practicing' Jewish family, think they are hiring an Au pair for their two young children. Hoping for a real life Mary Poppins, the family is in for a shock when the Au pair who turns up on their doorstep is DOVID MEYER,",33744,101
The Miracle Man,2014,1h 21min,Not Rated,"Drama, Romance",8.6,Ron Petronicolos,"Dylan Mooney, Haley Mancini, Ashten Beach","Rook Crenshaw is a man with a gift. Blessed with the uncanny ability to heal others, he and his friend Christian are drifters living a life of wandering solitude. That life comes to a screeching halt when Rook makes an involuntary commitment he may be una",138685,81
As the Palaces Burn,2014,2h 1min,Not Rated,"Documentary, Music",7.8,Don Argott,"Chris Adler, Willy Adler, Randy Blythe",Documentary that follows metal fans in different countries set against Lamb of God's 2012 world tour.,179617,121
Mala Mala,2014,1h 27min,Not Rated,"Documentary, Biography, Drama",6.7,Antonio Santini,"Jason Carrión, Paxx Moll, Alberic Prados",A documentary about the power of transformation told through the eyes of 9 trans-identifying individuals in Puerto Rico.,106102,87
Pakistan's Hidden Shame,2014,47min,Not Rated,Documentary,7.7,Mohammed Ali Naqvi,"Mrzebi, Juliet Stevenson",A look into the sexual abuse suffered by the children living in the North-Western city of Peshawar in Pakistan.,122330,47
Hinterland,2014,1h 18min,Not Rated,Drama,7.3,Harry Macqueen,Lori Campbell,Harry Macqueen's debut film is a tender and honest exploration of love and change. When Harvey (Harry Macqueen) hears that his old friend Lola (Lori Campbell) is returning home after years abroad he arranges to take her away for the weekend to the sea-sid,326768,78
The Hadza: Last of the First,2014,1h 11min,Not Rated,Documentary,7.4,Bill Benenson,"Alyssa Crittenden, Dave Fennoy, Jane Goodall","The film takes a look at human origins in the very place of our origins, Africa's Rift Valley, where one of the world's last remaining hunter-gatherer groups, the Hadza, have lived sustainably for over 50,000 years. The Hadza's foraging lifestyle is much",83395,71
Looking for Muhyiddin,2014,3h 3min,Not Rated,Drama,7.5,Nacer Khemir,"Denis Gril, Gabriele Manndelkhan","A man (played by the filmmaker Nacer Khemir) returns home to Tunisia to bury his mother. After the burial, his father gives him an ""amana"" to be handed to a certain Sheikh named Muhyiddin. Taken by his father's request, the man immediately sets out on an",43548,183
"Something, Anything",2014,1h 28min,Not Rated,"Drama, Romance",6.5,Paul Harrill,"Ashley Shelton, Bryce Johnson, Linds Edwards","When a tragedy shatters her plans for domestic bliss, a seemingly typical Southern newlywed gradually transforms into a spiritual seeker, quietly threatening the closest relationships around her.",344226,88
At the Top of the Pyramid,2014,1h 28min,Not Rated,Family,7.9,Lawrence Jordan,"Elle McLemore, Jessica Luza, Najla Bash",A cheerleader tries to overcome being traumatized by a tragic incident at a cheer leading competition.,55549,88
Human Harvest,2014,1h 12min,Not Rated,"Documentary, Crime",7.9,Leon Lee,"Ethan Gutmann, Shi-Wei Huang, Carlos Iglésias",Nobel Peace Prize nominees David Matas and David Kilgour investigate the organ harvesting trade in China and uncover one of the world's worst crimes against humanity.,192767,72
Four Days in Chicago,2013,1h 23min,Not Rated,"Documentary, History, News",7.8,Haskell Wexler,"Medea Benjamin, Graham Clumpner, Andrew Davis",Oscar-winning filmmaker Haskell Wexler returns to his hometown of Chicago to document the Occupy Movement's demonstrations against the 2012 NATO Summit.,101179,83
Get the Picture,2013,1h 10min,Not Rated,"Documentary, Biography, History",7.9,Cathy Pearson,"Christiane Amanpour, Martine Franck, Stanley Green","Meet John G Morris, 95, a legend of photojournalism, whose unerring eye for the best shot has moved and changed the world. Morris, former Picture Editor of Life Magazine & New York Times was instrumental in the early years of Magnum with his friends and p",91782,70
Swing Lowe Sweet Chariote,2013,1h 36min,Not Rated,"Action, Crime, Drama",7.6,David C. Snyder,"Phillia Thomas, Hakeem Sharif, Melissa Thorne","Swing Lowe Sweet Chariote is an emotionally charged urban drama about a good girl whose best friend is murdered just before graduation. She gets caught up with Ace, a local drug dealer that takes her deeper into the violent futility of the streets.",139283,96
"Coffee, Kill Boss",2013,1h 34min,Not Rated,"Comedy, Mystery",6.6,Nathan Marshall,"Eddie Jemison, Noureen DeWulf, Peter Breitmayer","When ten executives secretly meet to sell off their company, they're murdered one by one in this darkly comedic romp through the halls of corporate America.",122038,94
Super Duper Alice Cooper,2014,1h 38min,Not Rated,"Documentary, Biography, Music",7.3,Sam Dunn,"Doris Buchrucker, Alice Cooper, Sheryl Cooper","Super Duper Alice Cooper is the twisted tale of a teenage Dr Jekyll whose rock n roll Mr Hyde almost kills him. It is the story of Vincent Furnier, preacher's son, who struck fear into the hearts of parents as Alice Cooper, the ultimate rock star of the b",140411,98
Origins,2014,1h 41min,TV-PG,Documentary,7.4,Mark van Wijk,"Daniel Amen, Lisa Archer, Dave Asprey","The film looks at the advances of our civilization and how the recklessness of unchecked technology is choking out the environment. ""Origins"" shows how man, technology, and nature can walk together.",114438,101
"English Only, Please",2014,1h 55min,Not Rated,Comedy,7.2,Dan Villegas,"Derek Ramsay, Jennylyn Mercado, Kean Cipriano",A Filipino-American man hires a translator to help translate a letter he wrote for the woman that broke his heart.,342013,115
How to Be Deadly,2014,1h 28min,Not Rated,Comedy,7.8,Nik Sexton,"Ashley Billard, Dan Bochart, Robbie Carruthers","In Newfoundland, an unemployed minibike rider enters a minibike competition to win back his girlfriend.",149868,88
Man in a Box,2014,1h 59min,Not Rated,"Crime, Drama, Thriller",8.8,Kevin Eugene Davis,"Michael Galante, Ava Groves, Taj Johnson","Lloyd Thomas is released from a mental institution after 20 years for murdering his family. Using the Bible for guidance and understanding he struggles to acclimate back into society, while seeking forgiveness and redemption. Lloyd, seeing the world ridde",170,119
Tobias and the Half-Pariah,2014,1h 52min,Not Rated,"Animation, Action, Drama",8.3,Tines Sensahthe,"D.T. Chapman, Rhys Griffin","A tram engine discovers the secrets of his hidden abilities as a ""hybrid engine"" and confronts an old foe from the past, while trying to fit in with the engines of his new railway.",77971,112
The Decent One,2014,1h 34min,Not Rated,"Documentary, Drama, History",6.7,Vanessa Lapa,"Tobias Moretti, Sophie Rois, Antonia Moretti","A documentary that uses a cache of letters, diaries and documents to reveal the life of SS-leader Heinrich Himmler.",50883,94
Sexy Money,2014,1h 25min,Not Rated,"Documentary, Biography, News",7.3,Karin Junger,Unknown,"A musical documentary about the emancipation of Nigerian woman who have been exploited and humiliated as prostitutes in Europe and now, filled with a lust for life, are embarking on a new life. A growing group of illegal prostitutes from West Africa has s",20823,85
The Syndrome,2014,1h 26min,Not Rated,Documentary,7.6,Meryl Goldsmith,"Dale Akiki, Randell Alexander, Gerald Amirault",An explosive documentary focused on a team of doctors who expose the junk science behind an unprecedented criminal justice crisis.,159700,86
The Nanabijou Tapes,2014,1h 20min,Not Rated,"Horror, Mystery, Thriller",7.7,Chris Borgo,"Jeremy Siegfried, Steve Jankovic, Ryan Graham","In 2010, Four documentary filmmakers travel to Thunder Bay, Ontario, Canada in search of clues regarding the ancient myth of Nanabijou, and missing persons cases. Their journey brings them to the Sleeping Giant Provincial park, where they find themselves",18299,80
Capital C,2014,1h 27min,Not Rated,"Documentary, News",6.7,Timon Birkhofer,"Zach Crain, Brian Fargo, Jackson Robinson","CAPITAL C is the first documentary about crowdfunding. It follows the hopes and dreams as well as the fears and pitfalls of a whole new generation of independent creators, who reach out to the crowd in order to change their lives forever.",222087,87
In the Morning,2014,1h 15min,Not Rated,Drama,7.9,Nefertite Nguvu,"De'Adre Aziza, Emayatzy Corinealdi, Hoji Fortuna","In The Morning is a feature film about love and its inevitable change/decline. It charts the emotional anatomy of the lives, loves, infidelities and enduring friendships of a group of inter-connected New Yorkers over the course of one day.",44772,75
VeggieTales: Veggies in Space,2014,50min,TV-Y7,"Animation, Adventure, Comedy",6.9,Mike Nawrocki,"Phil Vischer, Megan Murphy","A Lesson in The Power of Sharing! Join Captain Cuke (Larry the Cucumber) and his loyal first officer, Mr. Spork (Bob the Tomato), as they embark on an out of this world adventure to bravely travel where no Veggie has ever been. The entire USS Applepies cr",397485,50
Reunion 108,2013,1h 58min,R,Comedy,7.7,James Suttles,"Justin Grace, Jack Mulcahy, Kera O'Bryon","Two generations of professional baseball players return for a 'Reunion' game. But before the game is played, the players are coerced into telling stories about their on and off the field past, and oh boy, watch out.",11890,118
Submit the Documentary: The Virtual Reality of Cyberbullying,2013,56min,Not Rated,"Documentary, Drama, Family",7,Les Ottolenghi,"Kate Wasiele, Courtne Guinyard","The way we hurt each other has evolved. Submit the Documentary is an in-depth look into the profound, reality of cyberbullying. Cyberbullying is 24x7x365 and reaches as far as the Internet can carry it. Submit the Documentary is a film that is informative",123957,56
Addict,2013,1h 32min,Not Rated,Drama,6.6,Geoff Harmer,"Paul Kelly, Stacy Hart, Andrew Coppin","Disillusioned sales manager David Pettigrew is a man with an addictive personality. Addicted to smoking. Addicted to drinking. And increasingly addicted to darker vices. Haunted by his unrequited feelings for a married employee, he seeks distraction elsew",125044,92
Novella,2013,1h 55min,Not Rated,"Drama, Thriller",8,Mitch McLeod,"Christopher Cassarino, Niko Red Star, Joey Folsom","David Lorne is a successful American novelist in a world where literature is widely recognized as a dying art form. Following a divorce from his wife of many years, David sets out into solitude to begin work on his newest project at the behest of his agen",44727,115
Starting Over,2013,1h 25min,Not Rated,"Comedy, Drama, Romance",8.6,Larry Rosen,"Christina Daoust, Andie Jordan, John Loper",Sarah and Ben moved across the country to start a new life together after graduation. Then Ben decided that new life doesn't include Sarah.,190776,85
Alanis Morissette: Live at Montreux 2012,2013,1h 38min,Not Rated,Music,7.6,Romain Guelat,"Alanis Morissette, Claude Nobs",Alanis Morissette is one of the most successful female artists and songwriters of all time and has sold in excess of 60 million albums worldwide. Her voice is instantly recognisable and she is a consummate live performer. On 2 July 2012 Alanis Morissette,160303,98
Emptying the Skies,2013,1h 18min,Not Rated,Documentary,7.4,Douglas Kass,"Peter Berthold, Sergio Coen Tanugi, David Conlin","As the migratory songbirds are sold by the thousands to the black market, the members of the Committee Against Bird Slaughter wage war against the poachers. But, can they change the world's point of view, freeing one bird at a time?",298409,78
Folsom Forever,2014,1h 12min,TV-MA,"Documentary, History",6.5,Mike Skiff,"Cléo Dubois, Jack Fritscher, Lance Holman","Folsom Forever tells the story of how the Folsom Street Fair, held in San Francisco, grew into the biggest outdoor kink and fetish event in the world, and managed to do a lot of good along the way.",38432,72
IMagine,2013,1h 16min,Not Rated,"Horror, Mystery, Thriller",8.2,DeWitt Jones,"Tarjatta Rose, Simone M. Whitlock, Jeff Trink",IMagine is a cavernous psychological erotic murder mystery with twists and spins that will force you to question your own imagination. Dr. Rachel Tuesday is an prominent well respected psychiatrist in the small town of Uncanny Pennsylvania. She has a lovi,133183,76
